SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
d	40648212	3619648	3560 65th Ave	Oakland	CA	94605	37.774725	-122.176134	SFR	350000	343000	3	2	1617	Composition Shingles	4200	(null)	(null)	(null)	Hookups Only	1940	(null)	Y	Upslope	Traditional	(null)	(null)	"Stone, Stucco"	Hardwood Floors	(null)	(null)	0	0	0	0	58	"Spacious 3 bedroom, 2 bath home above MacArthur Blvd. Lots of original detail, garage converted to family room."
c	21414533	11925746	741 Racquet Club Cir	Rohnert Park	CA	94928	38.349899	-122.697868	CONDO	252000	253000	3	1.5	1284	Composition	871	"Community Facility, In Ground, Community Pool"	"1 Car, Carport(s), Covered Parking, Assigned"	(null)	"Dryer Included, In Closet, Washer Included"	1978	2	Y	(null)	Contemporary	"Baseboard Heaters, Fireplace"	(null)	Stucco	"Laminate, Part Carpet, Wall-to-Wall Carpet"	360	"Smoke Alarm(s), City Utilities, Electric Water Heater, PG&E"	0	0	0	0	36	"One of the favorite complexes in Rohnert Park which includes pool,spa, club room and tennis courts. End unit with 2 private patios. 3 bd./1.5ba with new interior paint, new carpets as well as newer windows, fresh exterior paint, remodeled bathrooms, inside laundry and fireplace. Master Bedroom has its own private balcony. Central location and great opportunity!"
d	40664449	4303146	5131 Gately Ave	Richmond	CA	94804	37.916538	-122.321007	SFR	299000	330000	4	1.5	1965	Tar And Gravel	3000	(null)	"1 Garage Space, Attached Garage"	(null)	Hookups Only	1963	2	(null)	Level	Traditional	"Central Gravity, Wall Furnace"	(null)	Wood Siding	"Linoleum, Wall to Wall Carpet, Wood"	(null)	(null)	0	0	0	0	34	"Fresh exterior and interior paint, new carpet on this 4 bedroom 1 1/2 bath home located in a nice Richmond area. Close to shopping, school and freeway entrance."
a	81413117	11276081	455 Navaro Way #203	Alviso	CA	95134	37.40022278	-121.9229355	CONDO	639000	625000	2	2	1254	Tile	3920	Community Pool	"Attached, Gate/Door Opener, Guest Parking, Tandem, 2 Car Garage"	Neighborhood	"In Garage, Dryer, Washer, Hookup - Gas Dryer, 220 Volt Outlet"	1991	(null)	Y	(null)	Mediterranean	Central Forced Air	Central Air	(null)	"Tile, Wall to Wall Carpet, Linoleum or Vinyl"	265	"Window Covering(s), Double Pane Window(s), High Ceiling, Vaulted Ceiling, Balcony or Patio, Intercom, Cable TV Available, Skylight(s)"	0	0	0	0	101	"Outstanding value. Rare Epicurian Model in prestigious Villagio at River Oaks Village. The unit features a large open living area with vaulted ceiling, plus kitchen and 2 bedrooms/baths, on the entrance level. The 2nd floor is the spacious loft with closet and skylights. The laundry is in the two car garage. Villagio is ideally located near transportation, employers, retail, parks and schools."
b	424132	85857602	1865 Clay St #3	SF - Pacific Heights	CA	94109	37.79203415	-122.4238434	CONDO	1850000	1900000	3	2	(null)	(null)	(null)	(null)	"2 Garage Spaces, Attached, Interior Access, Automatic Door, Assigned"	(null)	(null)	1914	(null)	Y	(null)	Traditional	(null)	(null)	"Stucco, Wood Siding, Brick"	"Hardwood, Tile, Marble"	610	(null)	0	0	0	0	-1	For comp purposes only
a	81425948	11603383	3221 Lakebrook Court	San Jose - Evergreen	CA	95148	37.319283	-121.774796	SFR	1275000	1305000	5	3	2609	Tile	6785	(null)	2 Car Garage	(null)	220 Volt Outlet	1996	(null)	Y	(null)	Contemporary	Central Forced Air	Central Air	(null)	(null)	(null)	"Double Pane Window(s), High Ceiling, Vaulted Ceiling, Cable TV Available, Ceiling Fan(s)"	0	0	0	0	35	"Grand Entry with High Ceilings.... This home is FULL of upgrades!!! Over $150,000K!!!Large kitchen w granite countertops.. 5 Bedrooms with 3 Full Baths...One downstairs w full bath.. Custom Closet Organizers in every bedroom. Ceiling Fans in every room. Large lot with an ENTERTAINERS dream backyard...Built in BBQ, gazebo, the list goes on on.... THIS HOME IS A MUST SEE!!!"
a	81422759	11621501	7115 Cerro Crest Drive	San Jose - Santa Teresa	CA	95138	37.23699951	-121.7572174	SFR	849000	860000	4	2.5	2018	Tile	3920	(null)	2 Car Garage	(null)	220 Volt Outlet	2006	(null)	Y	(null)	Traditional	Central Forced Air	Central Air	Stucco	(null)	(null)	(null)	0	0	0	0	54	Regular sale-this home has it all-beautiful 8 years new home located in peaceful neighborhood features great floor plan w/4 beds & 2.5 baths-high ceiling w/seperate living/dinning room-recessed lighting -double paned windows-central heating & a/c-spacious kitchen w/island-stainless appliances-nicely landscaped backyard-highly rated school:rita ledema elem(api 876)& bernal middle (api 862)
a	81412043	3873942	255 East Warren Common	Fremont	CA	94539	37.48722839	-121.9252014	CONDO	424800	431000	2	1	878	(null)	(null)	(null)	2 Or More Car Carport	Green Belt	"220 Volts In Kitchen, 220 Volts In Laundry Area"	1982	(null)	(null)	(null)	(null)	Central Forced Air	No Cooling	(null)	"Tile, Wall to Wall Carpet"	260	"Balcony or Patio, Cable TV available"	0	0	0	0	53	This Cozy 878 square foot condo home has been recently remodeled. It has 2 bedrooms and 1.0 bathroom. Desirably located at the interior of the complex away from street noise.
d	40657957	4063628	3910 Belle Dr	Antioch	CA	94509	38.00569916	-121.8456879	SFR	265000	272000	3	2	1238	Composition Shingles	7380	(null)	"2 Garage Spaces, Attached Garage"	(null)	In Garage	1960	1	Y	Premium Lot	Ranch	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	Hardwood Floors Throughout	(null)	(null)	0	0	0	0	47	"Total charmer, completely redone, nice hardwood floors, new roof, new bathrooms, updated kitchen, new paint in and out, new dual pane low-e windows, huge yard and patio. Move-in condition, on large lot in lo-traffic cul-de-sac circle. See this one first! Sold as-is. Possible RV/Boat parking"
a	81412700	11569913	1022 Cedar Gables Drive	San Jose - Cambrian	CA	95118	37.2615242	-121.8770447	CONDO	339995	345000	2	2	824	Composition	(null)	(null)	"Guest Parking, 1 Car Carport"	Neighborhood	"In Laundry Room, Dryer, Washer, Hookup - Gas Dryer, 220 Volt Outlet"	1985	(null)	(null)	(null)	Traditional	Central Forced Air	(null)	(null)	"Tile, Wall to Wall Carpet"	334	"Window Covering(s), Double Pane Window(s), Vaulted Ceiling, Balcony or Patio, Cable TV Available, Ceiling Fan(s)"	0	0	0	0	82	"Ready to move in beautiful, small, private complex. Only 68 units. 2 bedroom, 2 bath upstairs Condo. Both bathrooms remodeled in recent past, tile floor and countertops in kitchen, wall to wall carpeting, dual pane windows, new carpet, new paint. Excellent location near schools, post office and the new upcoming Almaden Ranch shopping center. OPEN HOUSE CANCELLED, PENDING OFFER ACCEPTED"
d	40643192	(null)	Address Withheld By Seller	Bay Point	CA	94565	0	0	SFR	355000	360000	3	2.5	1495	Composition Shingles	5250	(null)	"2 Garage Spaces, Attached Garage, Off Street Parking"	"Bay, Delta, Greenbelt, Panoramic"	"Hookups Only, In Laundry Room"	1987	2	Y	Corner	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Wood Siding	"Tile, Wall to Wall Carpet"	40	(null)	0	0	0	0	111	"Regular sale.Open house this sat~sun; 03\22&03\23 ;1~4pm. Fantastic location!!Corner lot. Views, views, views!! Magnificent views of the delta water way!! Nice & clean!! New paint & lino. Close to bart!! Private back yard!! 2 car garage, indoor laundry!! Detached home in mota ranch. Ready to go!!!"
a	81418866	3734813	15347 Elvina Drive	San Leandro	CA	94579	37.68186951	-122.1571732	SFR	499000	500000	3	2	1400	Composition	5400	(null)	2 Car Garage	Neighborhood	"In Garage, Hookup - Gas Dryer"	1956	(null)	Y	Level	Ranch	Central Forced Air	(null)	Stucco	"Area Carpeting, Partial Hardwood, Tile, Laminate, Wall to Wall Carpet"	(null)	"Double Pane Window(s), Ceiling Fan(s)"	0	0	0	0	57	"A picturesque front yard & porch greet you into this fabulous home. Inside you will find a remodeled kitchen with granite countertops, bar area, luxurious master bath with jetted tub, bonus family room, double pane windows, plantation shutters, & a charming low maintenance backyard with lots of storage space. Happy living starts here for your family with all the amenities you've always wanted!"
c	21410273	11878597	783 Shannon Dr	Vacaville	CA	95688	38.38689423	-121.9758606	SFR	449900	442500	5	3	2434	Tile	7083	(null)	"2 Car, Attached, Interior Access"	(null)	"Hookups Only, In Laundry Room"	1989	2	Y	"Corner, Regular"	Traditional	Central Heat	Central Air	Stucco	(null)	(null)	Natural Gas	0	0	0	0	92	"Gorgeous 5 bdrm/3 bath Ridgeview corner lot home w extensive upgrades! Beautiful stone tile floors. Open kitchen w custom cabinetry, granite, new stainless steel appliances, peninsula w eating bar. Spacious family rm w entertainment center & fire place. Cathedral ceiling dining & living rm w fire place. Large master suite w new tile/granite bath. Fresh interior & exterior paint, new: carpet, water heater, fixtures, landscaping! Private backyard!"
c	21407975	11995271	321 Schiappino St	Santa Rosa	CA	95409	38.46576309	-122.6700058	SFR	579000	576500	3	2	1841	Composition	5998	(null)	"2 Car, Attached, Auto Door"	(null)	"Dryer Included, In Closet, Washer Included"	1997	1	Y	"Level, City"	Contemporary	Central Heat	Central Air	Wood Siding	"Marble, Part Carpet"	(null)	"Security Alarm System - Leased, Smoke Alarm(s), Cable TV available, DSL Available, Gas Water Heater, Internet Available, Natural Gas, PG&E"	0	0	0	0	107	"Located on a quiet street in Rincon Valley this single level, 3 bedroom, 2 bath, move-in ready home is conveniently located a short distance to all schools, popular markets, and restaurants. This original owner occupied home has been impeccably maintained, and features grand cathedral ceilings, a marble entry and twin fireplaces in both the living and family rooms. Beautiful front and backyard landscaping with attached two car garage."
d	40667021	3785388	2153 Vintage Lane	Livermore	CA	94550	37.663315	-121.766525	SFR	1089000	1100000	4	3	2936	Tile	16486	Possible Pool Site	"3 Garage Spaces, Attached Garage, RV / Boat Parking, Side Yard Access, Garage Door Opener"	(null)	In Laundry Room	1996	2	Y	Premium Lot	Contemporary	Forced Air 2 Zones	Central 2 or more Zones A/C	Stucco	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	"Fire Alarm System, Fire Sprinklers, Mirrored Closet Door(s)"	1	0	0	0	23	"Great price! Incredible custom on coveted Vintage Lane in South Livermore. Quality throughout with new upgrades not found in any other home. Space in all the right places including grand master suite, large bedrooms plus full bed/bath downstairs. Large, private lot with side yard access. C b4 Wed."
d	40654118	4242955	1 Wanda Lane	Orinda	CA	94566	37.88914108	-122.1733704	SFR	699000	699000	4	2	1951	Composition Shingles	41000	(null)	"2 Garage Spaces, Attached Garage, Side Yard Access"	Hills	Hookups Only	1962	1	Y	"Corner, Irregular"	Ranch	Forced Air 1 Zone	Central 1 Zone A/C	Stone	"Linoleum, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	25	"This roomy Orinda home is close to Town, BART, and Hwy 24. Corner lot has great level front and side yards. Property is being sold ""as is"". Use your imagination to update this family home to suit your needs..."
d	40651177	3663571	39 Crest Rd	Piedmont	CA	94611	37.820496	-122.217171	SFR	5450000	5450000	7	9.5	6936	Slate	28067	"Cabana, Gas Heat, In Ground, Pool Cover"	"3 Garage Spaces, Attached Garage, Garage Door Opener"	Bay	"220 Volt Outlet, Dryer, In Laundry Room, Washer"	1930	3	Y	"Downslope, Premium Lot, Secluded"	Traditional	Forced Air 2 Zones	Central 2 or more Zones A/C	Stucco	Hardwood Floors	(null)	"DSL/Modem Line, Security Alarm System - Owned, Window Coverings"	1	0	0	0	131	"A world of it's own! Expansive grounds & pristine condition!level entry w/bed&bath on main level, formal din,pool,level lawn,sports crt,large kit/fam.rm,2 offices,exercise rm, Bay vus from master,rec. rm,3 car gar!Sq.ft. from appraiser's measure, doesn't inc. pool house or storage rooms!Magnificent!"
d	40658749	3906539	39931 Cedar Blvd #206	Newark	CA	94560	37.518906	-121.992938	CONDO	349950	355888	2	2	1071	Tile	(null)	"Community Facility, In Ground, Pool"	"2 Garage Spaces, 2 Or More Carports"	(null)	Hookups Only	1985	3	(null)	(null)	Mediterranean	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	Concrete Slab	315	(null)	0	0	0	0	39	"Oh 5/25, 1-4, centrally located, fha approved complex. One of the few units with air conditioning. Fully equipped weight room. Granite kitchen counter. Remodeled bathrooms. Close to 84 and 880. Minutes from shopping."
d	40660247	4207499	12239 Toluca Dr	San Ramon	CA	94583	37.75456619	-121.9432831	SFR	885000	925000	3	3	2565	Composition Shingles	10300	"Gas Heat, Gunite, In Ground"	"3 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"220 Volt Outlet, Gas Dryer Hookups, Hookups Only, In Laundry Room"	1976	2	Y	"Corner, Regular"	Contemporary	"Forced Air 1 Zone, Gas"	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Marble/Stone, Slate, Tile, Wall to Wall Carpet"	(null)	"Central Vacuum, DSL/Modem Line, Window Coverings"	1	0	0	0	37	"Wonderful 3 bedroom, 3 full bath home w/ an oasis of a backyard including pool, grill and spa. Large kitchen w/ lots of counter space, built-in refrigerator and ample cabinet space. New interior paint and carpet. Large 10,000 sq ft lot, 3-car garage. Convenient to parks, shopping and 580 and 680..."
d	40657191	81022546	3179 Madsen Street	Hayward	CA	94541	37.6765529	-122.0830881	CONDO	505000	501000	3	3.5	1834	(null)	(null)	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	In Laundry Room	2011	3	(null)	(null)	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Tile, Vinyl, Wall to Wall Carpet"	220	(null)	0	0	0	0	67	"Phenomenal opportunity to own this super clean luxurious condo in a newer Taylor Morrison built subdivision. This property offers 2 master suites, 3 bedrooms (possible 4), a den/office, 3.5 bathrooms, and 2-car side-by-side garage. Kitchen boasts granite counters, stainless steel appliances."
d	40645345	3600742	2425 E 26th Street	Oakland	CA	94601	37.79081726	-122.2254334	SFR	299000	230000	2	1	1405	Composition Shingles	3360	(null)	"2 Garage Spaces, Detached Garage, Garage Door Opener"	(null)	"Dryer, In Laundry Room, Washer"	1906	2	(null)	Downslope	Traditional	No Heat	Ceiling Fan(s)	Wood Siding	"Hardwood Floors, Vinyl, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	84	"Spacious 2 Bdm 1 Bth home is located in the heart of Fruitvale District close to School. It offers Polished Hardwood Floor, Formal Dining Room, large kitchen with Granite Countertops and Wood Cabinets, Renovated Bath, 2 car garage with long driveway, Washer and Dryer included. Very Nice Location..."
d	40666125	3858798	5002 Spring Crest Ter	Fremont	CA	94536	37.544296	-122.014313	SFR	850000	850000	5	3	2200	Tile	3933	(null)	"2 Garage Spaces, Attached Garage"	(null)	Hookups Only	1998	2	Y	"Corner, Regular"	Contemporary	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Hardwood Floors, Wall to Wall Carpet"	50	Central Vacuum	0	0	0	0	29	"Bright & beautiful ive glen home in ideal fremont location! 5bed/3 full bath with 1bed/1bath downstairs. New carpet throughout, freshly painted throughout. Private community setting. Close to freeways/shopping. Open home sat/sun 1-4pm"
a	81418364	11567179	5272 Meridian Avenue	San Jose - Cambrian	CA	95118	37.24836731	-121.8937225	SFR	599000	615000	3	2	1080	Shingle	6042	(null)	"Attached, 2 Car Garage"	(null)	In Garage	1959	(null)	(null)	(null)	Ranch	Central Forced Air	(null)	Wood	"Hardwood, Linoleum or Vinyl"	(null)	Double Pane Window(s)	0	0	0	0	49	"Great Cambrian home w/ excellent schools - Lietz/Dartmouth/Branham! This 3/2 single-family home is ideal w/ attached two-car garage. Wonderful floor plan w/ large eat in kitchen. The sliding doors off living room provide easy access to the outdoors. Deep back yard! Plus refinished hardwood floors, freshly painted throughout, dual pane windows & newer roof! Clean & ready for new owners to enjoy!"
a	81418853	11468060	509 De Carli Court	Campbell	CA	95008	37.27077866	-121.9624405	SFR	1388000	1443000	5	3	2745	Composition	7841	(null)	"Gate/Door Opener, Off Street Parking, 3 Car Garage"	Neighborhood	"In Laundry Room, Dryer, Washer, Hookup - Gas Dryer, 220 Volt Outlet"	1995	(null)	Y	Cul-de-sac	Contemporary	Central Forced Air	Central Air	Stucco	"Slate, Tile, Wall to Wall Carpet, Hardwood"	(null)	"Security Alarm - Owned, Window Covering(s), Double Pane Window(s), High Ceiling, Vaulted Ceiling, Wet Bar, Skylight(s), Attic Fan(s)"	0	0	0	0	26	"Gorgeous Stratford Place home located in one of the most highly sought-after Campbell neighborhoods! With lots of amenities, this home has been updated & maintained to perfection, including a top-of-the-line full gourmet kitchen, an ideal open floor plan with soaring ceilings, a sweeping staircase, large rooms, quiet cul-de-sac with a resort-like private backyard. A welcoming must-see retreat!"
a	81421013	11124336	650 Cayman Lane	Foster City	CA	94404	37.542156	-122.258041	SFR	1498000	1558000	3	2.5	2300	"Shingle, Composition"	5247	"In Ground Concrete, Community Pool(s), Pool"	"Attached, Gate/Door Opener, 2 Car Garage"	Neighborhood	In Garage	1987	(null)	Y	"Corner, Level"	Cape Cod	"Central Forced Air, Gas"	(null)	Stucco	"Wall to Wall Carpet, Hardwood, Marble"	(null)	"Double Pane Window(s), High Ceiling, Vaulted Ceiling, Cable TV Available"	1	0	0	0	28	"Treat yourself to this gorgeous home in Alden Park, Foster City's premiere community! Move-in condition. New two-tone paint, new maple hardwood floor on main level, new luxury carpet on stairway and upstairs. Community amenities include pool, spa, tennis, clubhouse, gym, children's play area. Enjoy easy access to Sea Cloud Park and jog, bike or walk down the levee."
c	21407064	12061739	34 Chelsea Dr	Santa Rosa	CA	95403	38.495769	-122.745224	SFR	485000	555000	3	2	1687	Composition	11326	(null)	"2 Car, Attached"	(null)	"Hookups Only, In Garage"	1971	1	Y	"Level, Regular"	Ranch	Central Heat	"Central Air, Whole House Fan"	Wood Siding	"Laminate, Part Carpet"	(null)	"Cable TV available, DSL Available, Natural Gas, PG&E, Satellite Dish"	0	0	0	0	42	"Single level, 3 bed, 2 bath 2011 Christopherson remodel boasting an open plan, granite counters, wood floors & crown molding.Spacious kitchen with cherry cabinets opens to large deck. Retreat to the master suite with travertine shower & dual-sink vanity. You'll appreciate the 2-car garage, newer roof & windows, whole house fan, central air & RV parking.Over 1/4 acre with fruit trees, gardens, workshop & storage. Lots of space for you to enjoy."
